VID, COMPANY
0001,FRY'S ELECTRONICS
0002,INGRAM
0003,CLUB MAC
0004,NEBRASKA FURNITURE MART
0011,UNKNOWN
001F,WALMART
0040,ANYWARE CORPORATION
0042,DMT
0053,PLANEX
0078,MICRONTEK
0079,DRAGONRISE INC.
0080,UNKNOWN
0085,BOEYE TECHNOLOGY CO. LTD.
0102,MINISTREAK
0105,TRUST INTERNATIONAL B.V.
0127,IBP
0145,UNKNOWN
017C,MLK
0200,TP-LINK
0204,CHIPSBANK MICROELECTRONICS CO. LTD
0218,HANGZHOU WORLDE
0231,SONUUS LIMITED
02AD,HUMAX CO. LTD.
0303,MINI AUTOMATION CONTROLLER
0324,OCZ TECHNOLOGY INC
0325,OCZ TECHNOLOGY INC
0386,LTS
03C3,ZWO
03D9,SHENZHEN SINOTE TECH-ELECTRON CO. LTD
03DA,BERND WALTER COMPUTER TECHNOLOGY
03E7,INTEL
03E8,ENDPOINTS INC.
03E9,THESYS MICROELECTRONICS
03EA,DATA BROADCASTING CORP.
03EB,ATMEL CORP.
03EC,IWATSU AMERICA INC.
03ED,MITEL CORP.
03EE,MITSUMI
03F0,HP INC
03F1,GENOA TECHNOLOGY
03F2,OAK TECHNOLOGY INC.
03F3,ADAPTEC INC.
03F4,DIEBOLD INC.
03F5,SIEMENS ELECTROMECHANICAL
03F8,EPSON IMAGING TECHNOLOGY CENTER
03F9,KEYTRONIC CORP.
03FB,OPTI INC.
03FC,ELITEGROUP COMPUTER SYSTEMS
03FD,XILINX INC.
03FE,FARALLON COMUNICATIONS
0400,NATIONAL SEMICONDUCTOR CORP.
0401,NATIONAL REGISTRY INC.
0402,ALI CORP.
0403,FUTURE TECHNOLOGY DEVICES INTERNATIONAL LTD
0404,NCR CORP.
0405,SYNOPSYS INC.
0406,FUJITSU-ICL COMPUTERS
0407,FUJITSU PERSONAL SYSTEMS INC.
0408,QUANTA COMPUTER INC.
0409,NEC CORP.
040A,KODAK CO.
040B,WELTREND SEMICONDUCTOR
040C,VTECH COMPUTERS LTD
040D,VIA TECHNOLOGIES INC.
040E,MCCI
040F,ECHO SPEECH CORP.
0411,BUFFALO INC. (FORMERLY MELCO. INC.)
0412,AWARD SOFTWARE INTERNATIONAL
0413,LEADTEK RESEARCH INC.
0414,GIGA-BYTE TECHNOLOGY CO. LTD
0416,WINBOND ELECTRONICS CORP.
0417,SYMBIOS LOGIC
0418,AST RESEARCH
0419,SAMSUNG INFO. SYSTEMS AMERICA INC.
041A,PHOENIX TECHNOLOGIES LTD
041B,D'TV
041D,S3 INC.
041E,CREATIVE TECHNOLOGY LTD
041F,LCS TELEGRAPHICS
0420,CHIPS AND TECHNOLOGIES
0421,NOKIA MOBILE PHONES
0422,ADI SYSTEMS INC.
0423,COMPUTER ACCESS TECHNOLOGY CORP.
0424,MICROCHIP TECHNOLOGY INC. (FORMERLY SMSC)
0425,MOTOROLA SEMICONDUCTORS HK LTD
0426,INTEGRATED DEVICE TECHNOLOGY INC.
0427,MOTOROLA ELECTRONICS TAIWAN LTD
0428,ADVANCED GRAVIS COMPUTER TECH LTD
0429,CIRRUS LOGIC
042A,ERICSSON AUSTRIAN AG
042B,INTEL CORP.
042C,INNOVATIVE SEMICONDUCTORS INC.
042D,MICRONICS
042E,ACER INC.
042F,MOLEX INC.
0430,FUJITSU COMPONENT LIMITED
0431,ITAC SYSTEMS INC.
0432,UNISYS CORP.
0433,ALPS ELECTRIC INC.
0434,SAMSUNG INFO. SYSTEMS AMERICA INC.
0435,HYUNDAI ELECTRONICS AMERICA
0436,TAUGAGREINING HF
0437,FRAMATOME CONNECTORS USA
0438,ADVANCED MICRO DEVICES INC.
0439,VOICE TECHNOLOGIES GROUP
043D,LEXMARK INTERNATIONAL INC.
043E,LG ELECTRONICS USA INC.
043F,RADISYS CORP.
0440,EIZO NANAO CORP.
0441,WINBOND SYSTEMS LAB.
0442,ERICSSON INC.
0443,GATEWAY INC.
0445,LUCENT TECHNOLOGIES INC.
0446,NMB TECHNOLOGIES CORP.
0447,MOMENTUM MICROSYSTEMS
0449,DUTA MULTI ROBOTIK
044A,SHAMROCK TECH. CO. LTD
044B,WSI
044C,CCL/ITRI
044D,SIEMENS NIXDORF AG
044E,ALPS ELECTRIC CO. LTD
044F,THRUSTMASTER INC.
0450,DFI INC.
0451,TEXAS INSTRUMENTS INC.
0452,MITSUBISHI ELECTRONICS AMERICA INC.
0453,CMD TECHNOLOGY
0454,VOBIS MICROCOMPUTER AG
0455,TELEMATICS INTERNATIONAL INC.
0456,ANALOG DEVICES INC.
0457,SILICON INTEGRATED SYSTEMS CORP.
0458,KYE SYSTEMS CORP. (MOUSE SYSTEMS)
0459,ADOBE SYSTEMS INC.
045A,SONICBLUE INC.
045B,HITACHI LTD
045D,NORTEL NETWORKS LTD
045E,MICROSOFT CORP.
0460,ACE CAD ENTERPRISE CO. LTD
0461,PRIMAX ELECTRONICS LTD
0463,MGE UPS SYSTEMS
0464,AMP/TYCOELECTRONICS CORP.
0467,AT&T PARADYNE
0468,WIESON TECHNOLOGIES CO. LTD
046A,CHERRY
046B,AMERICAN MEGATRENDS INC.
046C,TOSHIBA CORP. DIGITAL MEDIA EQUIPMENT
046D,LOGITECH INC.
046E,BEHAVIOR TECH. COMPUTER CORP.
046F,CRYSTAL SEMICONDUCTOR
0471,PHILIPS (OR NXP)
0472,CHICONY ELECTRONICS CO. LTD
0473,SANYO INFORMATION BUSINESS CO. LTD
0474,SANYO ELECTRIC CO. LTD
0475,RELISYS/TECO INFORMATION SYSTEM
0476,AESP
0477,SEAGATE TECHNOLOGY INC.
0478,CONNECTIX CORP.
0479,ADVANCED PERIPHERAL LABORATORIES
047A,SEMTECH CORP.
047B,SILITEK CORP.
047C,DELL COMPUTER CORP.
047D,KENSINGTON
047E,AGERE SYSTEMS INC. (LUCENT)
047F,PLANTRONICS INC.
0480,TOSHIBA AMERICA INC
0481,ZENITH DATA SYSTEMS
0482,KYOCERA CORP.
0483,STMICROELECTRONICS
0484,SPECIALIX
0485,NOKIA MONITORS
0486,ASUS COMPUTERS INC.
0487,STEWART CONNECTOR
0488,CIRQUE CORP.
0489,FOXCONN / HON HAI
048A,S-MOS SYSTEMS INC.
048C,ALPS ELECTRIC IRELAND LTD
048D,INTEGRATED TECHNOLOGY EXPRESS INC.
048F,EICON TECH.
0490,UNITED MICROELECTRONICS CORP.
0491,CAPETRONIC
0492,SAMSUNG SEMICONDUCTOR INC.
0493,MAG TECHNOLOGY CO. LTD
0495,ESS TECHNOLOGY INC.
0496,MICRON ELECTRONICS
0497,SMILE INTERNATIONAL
0498,CAPETRONIC (KAOHSIUNG) CORP.
0499,YAMAHA CORP.
049A,GANDALF TECHNOLOGIES LTD
049B,CURTIS COMPUTER PRODUCTS
049C,ACER ADVANCED LABS INC.
049D,VLSI TECHNOLOGY
049F,COMPAQ COMPUTER CORP.
04A0,DIGITAL EQUIPMENT CORP.
04A1,SYSTEMSOFT CORP.
04A2,FIREPOWER SYSTEMS
04A3,TRIDENT MICROSYSTEMS INC.
04A4,HITACHI LTD
04A5,ACER PERIPHERALS INC. (NOW BENQ CORP.)
04A6,NOKIA DISPLAY PRODUCTS
04A7,VISIONEER
04A8,MULTIVIDEO LABS INC.
04A9,CANON INC.
04AA,DAEWOO TELECOM LTD
04AB,CHROMATIC RESEARCH
04AC,MICRO AUDIOMETRICS CORP.
04AD,DOOIN ELECTRONICS
04AF,WINNOV L.P.
04B0,NIKON CORP.
04B1,PAN INTERNATIONAL
04B3,IBM CORP.
04B4,CYPRESS SEMICONDUCTOR CORP.
04B5,ROHM LSI SYSTEMS USA LLC
04B6,HINT CORP.
04B7,COMPAL ELECTRONICS INC.
04B8,SEIKO EPSON CORP.
04B9,RAINBOW TECHNOLOGIES INC.
04BA,TOUCAN SYSTEMS LTD
04BB,I-O DATA DEVICE INC.
04BD,TOSHIBA ELECTRONICS TAIWAN CORP.
04BE,TELIA RESEARCH AB
04BF,TDK CORP.
04C1,U.S. ROBOTICS (3COM)
04C2,METHODE ELECTRONICS FAR EAST PTE LTD
04C3,MAXI SWITCH INC.
04C4,LOCKHEED MARTIN ENERGY RESEARCH
04C5,FUJITSU LTD
04C6,TOSHIBA AMERICA ELECTRONIC COMPONENTS
04C7,MICRO MACRO TECHNOLOGIES
04C8,KONICA CORP.
04CA,LITE-ON TECHNOLOGY CORP.
04CB,FUJI PHOTO FILM CO. LTD
04CC,ST-ERICSSON
04CD,TATUNG CO. OF AMERICA
04CE,SCANLOGIC CORP.
04CF,MYSON CENTURY INC.
