VID,Company
0001,FRY'S ELECTRONICS
0001_7778,COUNTERFEIT FLASH DRIVE [KINGSTON]
0002,INGRAM
0002_0002,PASSPORT00
0002_7007,HPRT XT300
0003,CLUB MAC
0004,NEBRASKA FURNITURE MART
0011,UNKNOWN
0011_7788,COUNTERFEIT FLASH DRIVE
001F,WALMART
001F_0B21,AB13X HEADSET ADAPTER
0040,ANYWARE CORPORATION
0040_073D,MINI MULTIMEDIA 2.4GHZ WIRELESS KEYBOARD WITH TOUCH PAD
0042,DMT
0053,PLANEX
0053_5301,GW-US54ZGL 802.11BG
0078,MICRONTEK
0078_0006,JOYSTICK
0079,DRAGONRISE INC.
0079_0006,PC TWIN SHOCK GAMEPAD
0079_0011,GAMEPAD
0079_1800,MAYFLASH WII U PRO GAME CONTROLLER ADAPTER [DIRECTINPUT]
0079_181B,VENOM ARCADE JOYSTICK
0079_1843,MAYFLASH GAMECUBE CONTROLLER ADAPTER
0079_1844,MAYFLASH GAMECUBE CONTROLLER
0080,UNKNOWN
0080_A001,JMS578 BASED SATA BRIDGE
0085,BOEYE TECHNOLOGY CO. LTD.
0085_0600,EBOOK READER
0102,MINISTREAK
0105,TRUST INTERNATIONAL B.V.
0105_145F,NW-3100 802.11B/G 54MBPS WIRELESS NETWORK ADAPTER [ZD1211]
0127,IBP
0127_0002,HDM INTERFACE
0127_0127,IBP
0145,UNKNOWN
0145_0112,CARD READER
017C,MLK
017C_145F,TRUST DESKSET
0200,TP-LINK
0200_0201,MA180 UMTS MODEM
0204,CHIPSBANK MICROELECTRONICS CO. LTD
0204_6025,CBM2080 / CBM2090 FLASH DRIVE CONTROLLER
0204_6026,CBM1180 FLASH DRIVE CONTROLLER
0218,HANGZHOU WORLDE
0218_0301,MIDI PORT
0231,SONUUS LIMITED
02AD,HUMAX CO. LTD.
02AD_138C,PVR MASS STORAGE
0303,MINI AUTOMATION CONTROLLER
0324,OCZ TECHNOLOGY INC
0324_BC06,OCZ ATV USB 2.0 FLASH DRIVE
0324_BC08,OCZ RALLY2/ATV USB 2.0 FLASH DRIVE
0325,OCZ TECHNOLOGY INC
0325_AC02,ATV TURBO / RALLY2 DUAL CHANNEL USB 2.0 FLASH DRIVE
0386,LTS
0386_0001,PSX FOR USB CONVERTER
03C3,ZWO
03C3_120E,ASI120MC-S PLANETARY CAMERA
03C3_1F10,EFF
03C3_294F,ASI294MC PRO
03D9,SHENZHEN SINOTE TECH-ELECTRON CO. LTD
03D9_0499,SE340D PC REMOTE CONTROL
03DA,BERND WALTER COMPUTER TECHNOLOGY
03DA_0002,HD44780 LCD INTERFACE
03E7,INTEL
03E7_2150,MYRIAD VPU [MOVIDIUS NEURAL COMPUTE STICK]
03E7_2485,MOVIDIUS MYRIADX
03E7_F63B,MYRIAD VPU [MOVIDIUS NEURAL COMPUTE STICK]
03E8,ENDPOINTS INC.
03E8_0004,SE401 WEBCAM
03E8_0008,101 ETHERNET [KLSI]
03E8_0015,ATAPI ENCLOSURE
03E8_2123,SIPIX STYLECAM DELUXE
03E8_8004,AOX 99001
03E9,THESYS MICROELECTRONICS
03EA,DATA BROADCASTING CORP.
03EB,ATMEL CORP.
03EB_0902,4-PORT HUB
03EB_2002,MASS STORAGE DEVICE
03EB_2015,AT90USBKEY SAMPLE FIRMWARE (HID KEYBOARD)
03EB_2018,AT90USBKEY SAMPLE FIRMWARE (CDC ACM)
03EB_2019,STK525 SAMPLE FIRMWARE (MICROPHONE)
03EB_201C,AT90USBKEY SAMPLE FIRMWARE (HID MOUSE)
03EB_201D,AT90USBKEY SAMPLE FIRMWARE (HID GENERIC)
03EB_2022,AT90USBKEY SAMPLE FIRMWARE (COMPOSITE DEVICE)
03EB_2040,LUFA TEST PID
03EB_2041,LUFA MOUSE DEMO APPLICATION
03EB_2042,LUFA KEYBOARD DEMO APPLICATION
03EB_2043,LUFA JOYSTICK DEMO APPLICATION
03EB_2044,LUFA CDC DEMO APPLICATION
03EB_2045,LUFA MASS STORAGE DEMO APPLICATION
03EB_2046,LUFA AUDIO OUTPUT DEMO APPLICATION
03EB_2047,LUFA AUDIO INPUT DEMO APPLICATION
03EB_2048,LUFA MIDI DEMO APPLICATION
03EB_2049,STRIPE SNOOP MAGNETIC STRIPE READER
03EB_204A,LUFA CDC CLASS BOOTLOADER
03EB_204B,LUFA USB TO SERIAL ADAPTER PROJECT
03EB_204C,LUFA RNDIS DEMO APPLICATION
03EB_204D,LUFA COMBINED MOUSE AND KEYBOARD DEMO APPLICATION
03EB_204E,LUFA DUAL CDC DEMO APPLICATION
03EB_204F,LUFA GENERIC HID DEMO APPLICATION
03EB_2060,BENITO PROGRAMMER PROJECT
03EB_2061,LUFA COMBINED MASS STORAGE AND KEYBOARD DEMO APPLICATION
03EB_2062,LUFA COMBINED CDC AND MOUSE DEMO APPLICATION
03EB_2063,LUFA DATALOGGER DEVICE
03EB_2064,INTERFACELESS CONTROL-ONLY LUFA DEVICES
03EB_2065,LUFA TEST AND MEASUREMENT DEMO APPLICATION
03EB_2066,LUFA MULTIPLE REPORT HID DEMO
03EB_2067,LUFA HID CLASS BOOTLOADER
03EB_2068,LUFA VIRTUAL SERIAL/MASS STORAGE DEMO
03EB_2069,LUFA WEBSERVER PROJECT
03EB_2103,JTAG ICE MKII
03EB_2104,AVR ISP MKII
03EB_2105,AVRONE!
03EB_2106,STK600 DEVELOPMENT BOARD
03EB_2107,AVR DRAGON
03EB_2109,STK541 ZIGBEE DEVELOPMENT BOARD
03EB_210A,AT86RF230 [RZUSBSTICK] TRANSCEIVER
